"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","initial_ht","Height_Fall2019","Growth"
"156","APP_01_VT_E","APP_01","APP","VT","Core",44.20933,72.9295,743,"VT_E","Vermont","E",6,44,4,6,2,23.5,41,17.5
"157","APP_02_MD_A","APP_02","APP","VT","Core",44.21172,72.92999,780,"MD_A","Maryland","A",5,61,5,5,5,30.5,34,3.5
"158","APP_02_MD_B","APP_02","APP","VT","Core",44.21172,72.92999,780,"MD_B","Maryland","B",5,43,3,5,13,14.5,32.5,18
"159","APP_02_MD_C","APP_02","APP","VT","Core",44.21172,72.92999,780,"MD_C","Maryland","C",4,56,4,4,14,31,39.5,8.5
"160","APP_02_MD_D","APP_02","APP","VT","Core",44.21172,72.92999,780,"MD_D","Maryland","D",3,21,2,3,7,30.5,33.5,3
"161","APP_02_MD_E","APP_02","APP","VT","Core",44.21172,72.92999,780,"MD_E","Maryland","E",2,41,3,2,13,31,44.5,13.5
"162","APP_02_NC_A","APP_02","APP","VT","Core",44.21172,72.92999,780,"NC_A","North_Carolina","A",5,41,3,5,13,15.5,27.5,12
"163","APP_02_NC_B","APP_02","APP","VT","Core",44.21172,72.92999,780,"NC_B","North_Carolina","B",4,42,3,4,14,26,37,11
"164","APP_02_NC_C","APP_02","APP","VT","Core",44.21172,72.92999,780,"NC_C","North_Carolina","C",3,21,2,3,7,24.5,32.5,8
"165","APP_02_NC_D","APP_02","APP","VT","Core",44.21172,72.92999,780,"NC_D","North_Carolina","D",5,61,5,5,5,20.5,26,5.5
"166","APP_02_NC_E","APP_02","APP","VT","Core",44.21172,72.92999,780,"NC_E","North_Carolina","E",2,55,4,2,13,28.5,37.5,9
"167","APP_02_VT_A","APP_02","APP","VT","Core",44.21172,72.92999,780,"VT_A","Vermont","A",3,35,3,3,7,15.5,28,12.5
"168","APP_02_VT_B","APP_02","APP","VT","Core",44.21172,72.92999,780,"VT_B","Vermont","B",3,12,1,3,10,29.5,35,5.5
"169","APP_02_VT_C","APP_02","APP","VT","Core",44.21172,72.92999,780,"VT_C","Vermont","C",2,27,2,2,13,23.5,36.5,13
"170","APP_02_VT_D","APP_02","APP","VT","Core",44.21172,72.92999,780,"VT_D","Vermont","D",5,41,3,5,13,27.5,32,4.5
"171","APP_02_VT_E","APP_02","APP","VT","Core",44.21172,72.92999,780,"VT_E","Vermont","E",4,56,4,4,14,30,34,4
"172","APP_03_MD_A","APP_03","APP","VT","Core",44.22097,72.92639,896,"MD_A","Maryland","A",3,8,1,3,8,12.5,15,2.5
"173","APP_03_MD_B","APP_03","APP","VT","Core",44.22097,72.92639,896,"MD_B","Maryland","B",3,27,2,3,11,18,25.5,7.5
"174","APP_03_MD_C","APP_03","APP","VT","Core",44.22097,72.92639,896,"MD_C","Maryland","C",4,12,1,4,12,19,28.5,9.5
"175","APP_03_MD_D","APP_03","APP","VT","Core",44.22097,72.92639,896,"MD_D","Maryland","D",4,31,3,4,3,13,21.5,8.5
"176","APP_03_MD_E","APP_03","APP","VT","Core",44.22097,72.92639,896,"MD_E","Maryland","E",3,3,1,3,3,11,14,3
"177","APP_03_NC_A","APP_03","APP","VT","Core",44.22097,72.92639,896,"NC_A","North_Carolina","A",3,53,4,3,11,11,19.5,8.5
"178","APP_03_NC_B","APP_03","APP","VT","Core",44.22097,72.92639,896,"NC_B","North_Carolina","B",4,12,1,4,12,24,33,9
"179","APP_03_NC_D","APP_03","APP","VT","Core",44.22097,72.92639,896,"NC_D","North_Carolina","D",3,8,1,3,8,8,10,2
"180","APP_03_VT_A","APP_03","APP","VT","Core",44.22097,72.92639,896,"VT_A","Vermont","A",4,45,4,4,3,9.5,12.5,3
"181","APP_03_VT_C","APP_03","APP","VT","Core",44.22097,72.92639,896,"VT_C","Vermont","C",3,3,1,3,3,19,31.5,12.5
