plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
APP_05_MD_A,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,A,6,31,3,6,3,237
APP_05_NC_C,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,C,6,27,2,6,13,196
APP_05_NC_E,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,E,5,27,2,5,13,197
APP_05_NC_D,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,D,6,17,2,6,3,202
APP_06_MD_A,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,A,5,53,4,5,11,237
APP_06_MD_B,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,B,4,29,3,4,1,245
APP_06_MD_C,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,C,6,48,4,6,6,238
APP_06_NC_B,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,B,6,34,3,6,6,241
APP_06_NC_D,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,D,5,53,4,5,11,202
APP_06_NC_E,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,E,3,49,4,3,7,234
APP_06_MD_D,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,D,5,36,3,5,8,202
APP_06_MD_E,APP_06,APP,VT,Core,44.21235,72.93502,658,Maryland,E,3,35,3,3,7,203
APP_06_VT_A,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,A,5,50,4,5,8,244
APP_06_VT_B,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,B,5,25,2,5,11,222
APP_06_VT_C,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,C,3,21,2,3,7,228
APP_06_VT_D,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,D,4,29,3,4,1,249
APP_06_VT_E,APP_06,APP,VT,Core,44.21235,72.93502,658,Vermont,E,6,48,4,6,6,271
APP_06_NC_A,APP_06,APP,VT,Core,44.21235,72.93502,658,North_Carolina,A,4,29,3,4,1,195
ASC_01_NC_A,ASC_01,ASC,VT,Core,43.43787,72.45218,883,North_Carolina,A,2,69,5,2,13,195
ASC_01_NC_B,ASC_01,ASC,VT,Core,43.43787,72.45218,883,North_Carolina,B,3,64,5,3,8,196
ASC_01_MD_A,ASC_01,ASC,VT,Core,43.43787,72.45218,883,Maryland,A,2,14,1,2,14,204
